ZINC000053683151	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c65)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
ZINC000096272462	C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1
ZINC000019203912	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
ZINC000019418959	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
ZINC000066074347	CCCN1CCc2cc(OCCCF)cc3c2[C@H]1Cc1cccc(O)c1-3
ZINC000013684083	COc1ccc2c(c1)CCN(C)CCc1ccccc1C2
ZINC000026168677	O=C1Cc2c(c(Cl)ccc2OCCN2CCc3ccccc3CC2)N1
ZINC000028255344	CCN1CCC[C@H]1CNC(=O)c1c(O)c(Br)ccc1OC
ZINC000035833376	Clc1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1Cl
ZINC000096272457	C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cnn3ccccc23)CC1
ZINC000170169552	O=C(CCCN1CC[Si](O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
ZINC000040834078	COc1ccccc1N1CCN(CCc2cc3[nH]cnc3c(Br)c2)CC1
ZINC000095610680	O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1
ZINC000013761775	COc1ccc(CCCCNCCOc2cccc3c2OCCC3)cc1
ZINC000064526899	O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4OCCC5)CC3)cc21
ZINC000064548450	O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4COC5)CC3)cc21
ZINC000012355919	N[C@@H]1Cc2ccc(O)cc2[C@H]1c1ccccc1
ZINC000058582929	Clc1cccc(N2CCN(CCCCNc3ccc(-c4ccccc4)cn3)CC2)c1Cl
ZINC000004175630	Oc1nc2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
ZINC000012356066	Oc1ccc2c(c1)O[C@H](CN1CCc3ccccc3C1)CC2
ZINC000012356067	Oc1ccc2c(c1)O[C@@H](CN1CCc3ccccc3C1)CC2
ZINC000013452202	CCCN(CCC)[C@@H]1Cc2cccc3nc(S)n(c32)C1
ZINC000013775955	Oc1ccc2c(c1)O[C@H](CNCCCCc1ccccc1)CC2
ZINC000013775958	Oc1ccc2c(c1)O[C@H](CNCc1cccs1)CC2
ZINC000013775959	Oc1ccc2c(c1)O[C@@H](CNCc1cccs1)CC2
